group,dataset,method,run_name,status,seconds,co_bps,poisson_nll,baseline_target,baseline_margin,beats_baseline,run_dir,config,log,error
flash_fc_top,allen_vcn_flash_fc_top,smoothing,smoothing_allen_vcn_flash_fc_top_20ms_nlb_style,ok,1.835,0.09670565277,0.2503979802,0.09670565277,0,false,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/smoothing_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/smoothing_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/smoothing_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,gpfa,gpfa_allen_vcn_flash_fc_top_20ms_nlb_style,ok,2.282,0.145357579,0.2469418049,0.09670565277,0.04865192623,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/gpfa_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/gpfa_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/gpfa_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,cassm,cassm_allen_vcn_flash_fc_top_20ms_nlb_style,ok,76.053,0.09896861762,0.250023365,0.09670565277,0.00226296485,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/cassm_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/cassm_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/cassm_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,kalman,kalman_allen_vcn_flash_fc_top_20ms_nlb_style,ok,41.729,0.1016981155,0.2496462017,0.09670565277,0.00499246273,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/kalman_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/kalman_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/kalman_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,lfads,lfads_allen_vcn_flash_fc_top_20ms_nlb_style,ok,13.788,0.1962112039,0.2433292121,0.09670565277,0.09950555113,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/lfads_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/lfads_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/lfads_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,ndt,ndt_allen_vcn_flash_fc_top_20ms_nlb_style,ok,56.121,0.1800399572,0.2444780022,0.09670565277,0.08333430443,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/ndt_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/ndt_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,stndt,stndt_allen_vcn_flash_fc_top_20ms_nlb_style,ok,346.383,0.1144595668,0.2491367608,0.09670565277,0.01775391403,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/stndt_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/stndt_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/stndt_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,langevin_flow,langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style,ok,37.922,0.1405073702,0.2472863495,0.09670565277,0.04380171743,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/_logs/langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style.log,
flash_fc_top,allen_vcn_flash_fc_top,mint,mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2,ok,4.326,0.1935065091,0.2435213771,0.09670565277,0.09680085633,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/configs/mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/_logs/mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2.log,selected_from_optional_fallback_variant=lfadslib_trial_interp2_cand2_win6_sigma2
flash_fc_top,allen_vcn_flash_fc_top,bgpfa,bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec,ok,47.606,0.1302561909,0.2480145842,0.09670565277,0.03355053813,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_targeted_sweep/bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_targeted_sweep/configs/bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_targeted_sweep/_logs/bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec.log,selected_from_optional_fallback_variant=faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec
flash_fc_top,allen_vcn_flash_fc_top,ilqr_vae,ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0,ok,548.851,0.1097541824,0.2494710237,0.09670565277,0.01304852963,true,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/configs/ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0.yaml,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/_logs/ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0.log,selected_from_optional_fallback_variant=e50_maxiter5_lr002_seed0
