group,dataset,method,co_bps,run_dir,config,run_name,error
flash_fc_second,allen_vcn_flash_fc_second,bgpfa,0.1101626605,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_faobs1_sweep/bgpfa_allen_vcn_flash_fc_second_20ms_nlb_style_optional_fallback_faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_faobs1_sweep/configs/bgpfa_allen_vcn_flash_fc_second_20ms_nlb_style_optional_fallback_faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec.yaml,bgpfa_allen_vcn_flash_fc_second_20ms_nlb_style_optional_fallback_faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec,selected_from_optional_fallback_variant=faobs1_gaussian_latent24_lr02_e250_refkl_fainit_poisdec
flash_fc_second,allen_vcn_flash_fc_second,ilqr_vae,0.1310850829,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/ilqr_vae_allen_vcn_flash_fc_second_20ms_nlb_style_optional_fallback_e50_maxiter2_lr002_seed0,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/configs/ilqr_vae_allen_vcn_flash_fc_second_20ms_nlb_style_optional_fallback_e50_maxiter2_lr002_seed0.yaml,ilqr_vae_allen_vcn_flash_fc_second_20ms_nlb_style_optional_fallback_e50_maxiter2_lr002_seed0,selected_from_optional_fallback_variant=e50_maxiter2_lr002_seed0
flash_fc_top,allen_vcn_flash_fc_top,psth,-0.04257285222,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/psth_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/psth_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,psth_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,smoothing,0.09670565277,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/smoothing_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/smoothing_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,smoothing_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,gpfa,0.145357579,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/gpfa_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/gpfa_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,gpfa_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,cassm,0.09896861762,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/cassm_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/cassm_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,cassm_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,kalman,0.1016981155,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/kalman_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/kalman_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,kalman_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,lfads,0.1962112039,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/lfads_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/lfads_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,lfads_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,ndt,0.1800399572,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/ndt_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/ndt_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,ndt_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,stndt,0.1144595668,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/stndt_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/stndt_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,stndt_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,langevin_flow,0.1405073702,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/configs/langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style.yaml,langevin_flow_allen_vcn_flash_fc_top_20ms_nlb_style,
flash_fc_top,allen_vcn_flash_fc_top,mint,0.1935065091,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/mint_lfadslib_sweep/configs/mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2.yaml,mint_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_lfadslib_trial_interp2_cand2_win6_sigma2,selected_from_optional_fallback_variant=lfadslib_trial_interp2_cand2_win6_sigma2
flash_fc_top,allen_vcn_flash_fc_top,bgpfa,0.1302561909,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_targeted_sweep/bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/bgpfa_targeted_sweep/configs/bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec.yaml,bgpfa_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec,selected_from_optional_fallback_variant=faobs1tune_gaussian_latent16_lr02_e350_refkl_infer1000_fainit_poisdec
flash_fc_top,allen_vcn_flash_fc_top,ilqr_vae,0.1097541824,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0,runs/allen_vcn_nlb_style_20260805_tuned_core_v2/optional_fallback_sweep/configs/ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0.yaml,ilqr_vae_allen_vcn_flash_fc_top_20ms_nlb_style_optional_fallback_e50_maxiter5_lr002_seed0,selected_from_optional_fallback_variant=e50_maxiter5_lr002_seed0
